epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7036,1.58458,2.50968,1.31254,0.46384,0.25408,0.23713,0.12306,1.74558,2.66738,1.41028,0.00065942,0.00065942,0.00065942
2,51.9851,1.79553,2.30373,1.4695,0.30516,0.2191,0.18717,0.09451,1.89532,2.41102,1.68515,0.00129983,0.00129983,0.00129983
3,77.7784,1.87,2.20777,1.53302,0.41781,0.27228,0.25578,0.11996,2.02742,2.64912,1.74179,0.00191384,0.00191384,0.00191384
4,100.543,1.85387,2.07604,1.5424,0.45603,0.3065,0.30414,0.14791,1.92483,2.0571,1.60899,0.0018812,0.0018812,0.0018812
5,121.062,1.81371,2.00866,1.51369,0.44013,0.3449,0.33144,0.17022,1.81913,2.41424,1.5625,0.0018416,0.0018416,0.0018416
6,142.355,1.77209,1.90248,1.48271,0.40395,0.22058,0.21947,0.10856,1.96202,2.59176,1.58451,0.001802,0.001802,0.001802
7,163.172,1.72503,1.88984,1.46112,0.46409,0.33703,0.34763,0.18629,1.7283,2.18197,1.46945,0.0017624,0.0017624,0.0017624
8,184.01,1.68926,1.8165,1.44664,0.53852,0.40005,0.43047,0.23255,1.68681,1.66074,1.4553,0.0017228,0.0017228,0.0017228
9,204.279,1.69328,1.79212,1.45822,0.50135,0.3934,0.39988,0.21865,1.68531,1.73831,1.47161,0.0016832,0.0016832,0.0016832
10,224.626,1.66945,1.79138,1.43028,0.50883,0.37051,0.39632,0.2213,1.65438,1.82553,1.42539,0.0016436,0.0016436,0.0016436
11,245.102,1.62316,1.67537,1.40236,0.57432,0.42082,0.4591,0.26013,1.59764,1.63015,1.37014,0.001604,0.001604,0.001604
12,266.092,1.67199,1.72372,1.41309,0.60192,0.40719,0.46068,0.25764,1.58191,1.5956,1.37469,0.0015644,0.0015644,0.0015644
13,287.552,1.60999,1.64863,1.38449,0.59216,0.44537,0.48256,0.26751,1.57316,1.49832,1.3686,0.0015248,0.0015248,0.0015248
14,309.578,1.59594,1.62553,1.36332,0.60584,0.44264,0.48562,0.2784,1.56993,1.52393,1.35138,0.0014852,0.0014852,0.0014852
15,331.726,1.56058,1.58384,1.351,0.63097,0.45913,0.51725,0.30055,1.5022,1.44767,1.29701,0.0014456,0.0014456,0.0014456
16,353.925,1.53262,1.5675,1.34574,0.63463,0.45963,0.51247,0.28967,1.52288,1.45049,1.32571,0.001406,0.001406,0.001406
17,377.038,1.54921,1.53,1.34986,0.6534,0.45643,0.52806,0.31174,1.48422,1.39043,1.29436,0.0013664,0.0013664,0.0013664
18,397.81,1.5266,1.5275,1.32325,0.62331,0.47905,0.53076,0.31358,1.4496,1.35429,1.28309,0.0013268,0.0013268,0.0013268
19,417.66,1.48769,1.47749,1.31656,0.66154,0.50043,0.56128,0.33195,1.44157,1.31237,1.26452,0.0012872,0.0012872,0.0012872
20,440.073,1.50704,1.45222,1.31715,0.60859,0.46258,0.51312,0.30919,1.45579,1.39527,1.27493,0.0012476,0.0012476,0.0012476
21,462.674,1.47167,1.4493,1.29326,0.66865,0.49065,0.56099,0.333,1.43802,1.30767,1.25857,0.001208,0.001208,0.001208
22,485.008,1.49142,1.45357,1.30235,0.66692,0.50492,0.57612,0.34462,1.42304,1.33956,1.25686,0.0011684,0.0011684,0.0011684
23,507.354,1.45741,1.40707,1.28381,0.66551,0.53693,0.60182,0.36666,1.38427,1.20479,1.23487,0.0011288,0.0011288,0.0011288
24,530.044,1.46746,1.40426,1.27867,0.67719,0.54481,0.60338,0.36591,1.38313,1.2086,1.23242,0.0010892,0.0010892,0.0010892
25,552.393,1.43122,1.35184,1.26672,0.67312,0.51502,0.59345,0.35251,1.39573,1.23649,1.23513,0.0010496,0.0010496,0.0010496
26,574.769,1.44598,1.34468,1.27386,0.63309,0.48723,0.5524,0.3384,1.37305,1.32707,1.22295,0.00101,0.00101,0.00101
27,597.567,1.41782,1.3299,1.25331,0.67196,0.5421,0.61027,0.3755,1.3365,1.1955,1.20825,0.0009704,0.0009704,0.0009704
28,620.054,1.42139,1.32798,1.26332,0.68817,0.55638,0.62225,0.38381,1.33613,1.14913,1.19767,0.0009308,0.0009308,0.0009308
29,642.389,1.39387,1.34263,1.25245,0.70169,0.56105,0.63263,0.38951,1.33239,1.13591,1.1971,0.0008912,0.0008912,0.0008912
30,664.631,1.42309,1.2919,1.24185,0.6897,0.56032,0.62704,0.38834,1.3325,1.12129,1.1875,0.0008516,0.0008516,0.0008516
31,686.594,1.36152,1.25661,1.22239,0.74006,0.56918,0.65619,0.40473,1.32243,1.08308,1.18549,0.000812,0.000812,0.000812
32,709.179,1.38039,1.25076,1.227,0.72305,0.57336,0.65191,0.40499,1.29622,1.085,1.17047,0.0007724,0.0007724,0.0007724
33,731.998,1.37637,1.25429,1.22569,0.75325,0.56366,0.66343,0.41797,1.28047,1.0564,1.16308,0.0007328,0.0007328,0.0007328
34,754.733,1.34189,1.20976,1.2034,0.73135,0.58909,0.66816,0.41625,1.27914,1.05627,1.15371,0.0006932,0.0006932,0.0006932
35,777.453,1.34132,1.20919,1.20825,0.74716,0.58926,0.68013,0.42305,1.27014,1.04647,1.14768,0.0006536,0.0006536,0.0006536
36,800.232,1.3379,1.18829,1.19309,0.74618,0.57361,0.6654,0.42817,1.24941,1.02355,1.14187,0.000614,0.000614,0.000614
37,824.137,1.29966,1.14257,1.17651,0.74814,0.60039,0.69309,0.44031,1.24061,0.99208,1.12702,0.0005744,0.0005744,0.0005744
38,846.716,1.31503,1.15721,1.18696,0.75627,0.59946,0.69347,0.44435,1.22502,0.98018,1.12645,0.0005348,0.0005348,0.0005348
39,869.669,1.27856,1.13625,1.17762,0.73835,0.61324,0.69889,0.44728,1.22447,0.96962,1.1221,0.0004952,0.0004952,0.0004952
40,892.322,1.3041,1.13089,1.17885,0.74204,0.62408,0.70298,0.4593,1.19261,0.93233,1.11134,0.0004556,0.0004556,0.0004556
41,940.391,1.31417,1.15412,1.19397,0.75642,0.59207,0.69039,0.44683,1.20996,0.96574,1.11873,0.000416,0.000416,0.000416
42,961.277,1.28304,1.07264,1.16953,0.75009,0.61866,0.70654,0.45925,1.21038,0.93296,1.1103,0.0003764,0.0003764,0.0003764
43,981.089,1.26449,1.03968,1.16206,0.78366,0.61709,0.7198,0.47113,1.18674,0.90878,1.09918,0.0003368,0.0003368,0.0003368
44,1000.88,1.2579,1.0398,1.15465,0.77249,0.62274,0.71744,0.47349,1.17228,0.89297,1.09344,0.0002972,0.0002972,0.0002972
45,1020.63,1.24902,1.02466,1.15559,0.79623,0.63688,0.73503,0.48228,1.15851,0.87709,1.08701,0.0002576,0.0002576,0.0002576
46,1040.58,1.23987,0.99073,1.13986,0.78164,0.64032,0.73367,0.48429,1.15896,0.86774,1.08181,0.000218,0.000218,0.000218
47,1060.29,1.22643,0.98292,1.13615,0.78597,0.65001,0.73981,0.4939,1.1428,0.85275,1.07731,0.0001784,0.0001784,0.0001784
48,1079.96,1.22766,0.97748,1.14007,0.78943,0.65263,0.74717,0.4985,1.13448,0.8426,1.07112,0.0001388,0.0001388,0.0001388
49,1100.01,1.20302,0.9547,1.12402,0.79821,0.66027,0.75314,0.50241,1.1332,0.83369,1.07026,9.92e-05,9.92e-05,9.92e-05
50,1120.02,1.20542,0.95069,1.13205,0.79587,0.66494,0.75476,0.50576,1.12212,0.82542,1.06388,5.96e-05,5.96e-05,5.96e-05
